               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.020006,           0.0097089,                   0,             0.93496,             0.90446,             0.96767,             0.80177,             0.01635,           0.0044028,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.021217,           0.0094679,                   0,             0.89877,             0.96178,             0.97057,             0.79875,             0.01691,           0.0042978,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.019268,             0.01008,                   0,             0.90307,             0.94946,             0.96897,              0.8019,            0.016872,           0.0044246,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.019768,           0.0096051,                   0,             0.89323,             0.95918,             0.97185,             0.80256,            0.017159,           0.0047315,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.020106,           0.0092928,                   0,             0.90589,             0.92994,             0.96693,             0.77636,            0.017213,           0.0047989,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.020596,           0.0098266,                   0,             0.91903,             0.93989,             0.97276,             0.80268,            0.014889,           0.0046406,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.018775,           0.0093317,                   0,             0.93446,             0.92357,             0.97138,             0.81211,            0.016928,             0.00488,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.018598,           0.0093469,                   0,             0.94729,             0.91584,             0.96973,             0.81333,            0.016484,           0.0046586,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.019494,           0.0093631,                   0,             0.94104,             0.91492,             0.97168,             0.81079,            0.015105,           0.0045032,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.021025,           0.0092971,                   0,             0.90985,             0.89998,             0.96486,             0.78414,            0.016386,           0.0046285,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.018345,           0.0090402,                   0,             0.92132,              0.9172,             0.96318,             0.81443,            0.015854,           0.0047828,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.018471,           0.0085377,                   0,             0.91665,             0.90446,             0.96387,             0.79915,             0.01662,            0.004968,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.018126,           0.0086194,                   0,             0.93804,             0.91083,              0.9733,             0.81143,            0.017155,           0.0047875,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.018831,           0.0091242,                   0,             0.95297,             0.90353,             0.96593,             0.81175,            0.015825,           0.0047719,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.018289,           0.0089393,                   0,             0.93496,             0.91563,             0.96994,              0.8065,            0.015926,           0.0048251,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.018807,           0.0092084,                   0,             0.92985,             0.92871,             0.97266,             0.81376,            0.015993,           0.0047271,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.018644,           0.0090879,                   0,             0.94971,             0.90446,             0.96846,             0.81596,            0.016082,           0.0047744,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.018533,           0.0091592,                   0,             0.89628,             0.93569,             0.96636,             0.81217,             0.01507,             0.00457,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.017162,           0.0082567,                   0,             0.94661,             0.90351,             0.96816,             0.80127,            0.015927,           0.0046148,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.017716,           0.0088107,                   0,             0.93472,             0.91197,             0.96665,             0.79601,            0.016133,           0.0047967,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.018698,           0.0084064,                   0,             0.90833,             0.94668,             0.95625,             0.79159,            0.015207,           0.0047051,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.017961,           0.0089294,                   0,             0.92199,             0.93631,             0.96766,             0.81241,            0.015763,           0.0046749,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.017781,           0.0086271,                   0,             0.89889,              0.9172,             0.95645,             0.80412,            0.015652,            0.004571,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.017954,           0.0088577,                   0,             0.90321,             0.93631,             0.96178,             0.81421,            0.015404,           0.0047263,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.017579,           0.0091915,                   0,             0.90164,             0.93422,             0.96184,             0.80617,            0.015854,           0.0049846,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.017372,           0.0088465,                   0,             0.90557,             0.91083,             0.95467,             0.79533,            0.016008,           0.0049608,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.017941,           0.0087695,                   0,             0.91186,             0.92253,             0.95591,             0.80831,            0.016181,           0.0050072,                   0,            0.005842,            0.005842,            0.005842
                  65,             0.01612,           0.0080568,                   0,             0.89737,             0.91083,             0.93109,              0.7716,            0.015317,           0.0048967,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.016727,            0.008549,                   0,             0.89764,             0.92357,              0.9476,             0.79991,            0.015433,           0.0048823,                   0,             0.00571,             0.00571,             0.00571
                  67,             0.01692,           0.0081672,                   0,             0.91443,             0.89809,             0.95076,             0.80474,             0.01646,           0.0050295,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.016622,           0.0082881,                   0,             0.93911,             0.89172,             0.96119,             0.79948,            0.016236,           0.0049602,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.016107,           0.0082687,                   0,             0.93918,             0.89809,               0.963,             0.81859,            0.016102,            0.004994,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.016503,           0.0090677,                   0,             0.94034,             0.90357,             0.96744,             0.82064,            0.015908,           0.0050651,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.016018,           0.0083868,                   0,             0.91617,             0.90492,             0.96325,             0.80522,            0.016867,           0.0051657,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.015896,           0.0082344,                   0,             0.90044,             0.91083,             0.96061,             0.81823,            0.015622,           0.0047712,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.015775,           0.0080822,                   0,             0.94011,             0.88535,              0.9619,             0.81179,            0.015887,           0.0048317,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.015641,            0.007757,                   0,             0.90049,              0.9222,             0.96292,             0.81495,            0.015499,           0.0048005,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.016351,           0.0086469,                   0,             0.92145,             0.89809,             0.95909,             0.80786,            0.014647,           0.0046608,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.014843,           0.0078879,                   0,             0.90478,             0.92994,             0.96242,             0.80604,            0.016213,           0.0047667,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.015635,           0.0082263,                   0,             0.89809,             0.92357,             0.96036,               0.813,            0.015194,           0.0048298,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.015372,            0.007638,                   0,             0.93991,             0.89665,             0.97002,              0.8158,            0.015415,           0.0048148,                   0,            0.004918,            0.004918,            0.004918
                  79,             0.01508,           0.0078207,                   0,             0.92334,             0.89809,             0.96659,             0.82121,            0.015582,           0.0052219,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.015694,           0.0074752,                   0,             0.89977,             0.91482,             0.96377,              0.8073,            0.015705,           0.0050932,                   0,            0.004786,            0.004786,            0.004786
                  81,             0.01501,           0.0075877,                   0,              0.9036,             0.90446,             0.95445,              0.8077,            0.015473,           0.0053238,                   0,             0.00472,             0.00472,             0.00472
                  82,             0.01571,           0.0080304,                   0,             0.93019,             0.87261,               0.955,             0.80868,            0.015372,           0.0053384,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.015323,           0.0075852,                   0,             0.87679,             0.95185,             0.96556,             0.81912,            0.014648,           0.0049609,                   0,            0.004588,            0.004588,            0.004588
                  84,             0.01538,           0.0078511,                   0,             0.93413,             0.91083,             0.96124,             0.81443,            0.014824,           0.0052415,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.015373,           0.0076614,                   0,             0.89489,             0.93631,             0.96302,             0.80689,            0.015745,           0.0053338,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.015268,           0.0079272,                   0,             0.90908,             0.89172,             0.96039,             0.81776,            0.015093,            0.005063,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.014645,            0.007707,                   0,             0.89964,             0.92357,             0.95724,             0.81697,            0.015146,           0.0048804,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.015206,           0.0074696,                   0,             0.90591,             0.92994,             0.96522,               0.817,            0.015544,           0.0048055,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.014547,           0.0071448,                   0,             0.92142,             0.89809,             0.96081,             0.81334,            0.015028,           0.0047079,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.014265,           0.0076866,                   0,             0.92385,             0.91083,             0.96514,             0.81533,             0.01451,           0.0047453,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.014478,           0.0073384,                   0,             0.91243,             0.90446,             0.96233,             0.82054,            0.014484,           0.0048656,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.014443,           0.0073012,                   0,             0.93921,             0.91083,             0.96578,             0.82301,              0.0151,           0.0050165,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.014272,           0.0076404,                   0,             0.93333,              0.9172,             0.96363,             0.82846,            0.015058,           0.0048052,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.014436,           0.0073991,                   0,             0.93406,              0.9172,             0.96438,             0.82579,             0.01513,           0.0048486,                   0,            0.003862,            0.003862,            0.003862
